Id;Nombre;Breve resumen;Descripción;URL de la imagen;Temas;Determinantes;Sexo;Edad;Creador;Dirección;Código Postal;Latitud;Longitud;Población;Tipo;Municipio;Provincia;Comunidad;País;Contacto;Correo electrónico;Teléfono;Entidad participante/colaboradora/promotora;Temporalidad;Fecha de creación;Fecha de caducidad;Otros detalles sobre la población a la que va dirigida la actividad;Página web;Twitter;Facebook;Situación actual;Red;Validada
4684;"Taller de suelo pélvico";"Taller teórico -práctico para sensibilizar sobre la importancia del suelo pélvico cuyo objetivo es prevenir,asistir y paliar problemas de incontinencia";"
Terceros jueves de cada mes a excepci&oacute;n de los meses de julio,agosto y diciembre.
Horario:ma&ntilde;ana 10h-11h30 y tarde 17h-18h30
";"";"Mujeres | Actividad física";"Hábitos/Comportamientos saludables";"Mujeres";"Población Adulta (Mayores de 15 años)";"MARIAARANZAZU.AHEDOVAQUERO@OSAKIDETZA.EUS";"Calle Olagibel, 31";"01004";"42.8460352";"-2.665693499999975";"vitoria";"Calle";"Vitoria-Gasteiz";"Araba/Álava";"Euskadi";"España";"Mª jesús Pinedo
Arantza Ahedo";"MARIAARANZAZU.AHEDOVAQUERO@OSAKIDETZA.EUS";"945 00 79 00";"CENTRO DE SALUD OLAGUIBEL";"A demanda";"19/07/2019 23:45:02";"19/08/2020 23:45:02";"Mujeres capaces de acudir al centro donde se realiza el taller así como de entender y realizar los contenidos y ejercicios que se explican en dicho taller";"";"";"";"Histórica";"EUS";"1"
5226;"TOLOSALDEA TABAKO-KERIK ETA ZIGARROKINIK GABE. ?EZ ERRETZEKO ARRAZOIAK? ARGAZKI-LEHIAKETA";"Erre edo ez erre? erretzen hasi edo utzi? hauek dira ehundaka nerabe eta helduen buruetan dabiltzan galderak. Ez erretzeko arrazoiak ikustaraztea da lehiaketa honen helburu.
Nahia, erretzen dutenei uztera animatzea eta haste ari direnei galduko dutenaz jabetu daitezeela da.";"
LEHIAKETAREN SUSTATZAILEAK
Amasa- Villabona eta Tolosako Udalek, Osakidetzak, AECCk, Asuncion Klinikak eta Tolosa-Goierriko Osasun Publikoko eskualdeak sustatutako lehiaketa da.
ZERGATIA
Erre edo ez erre&hellip; erretzen hasi edo utzi&hellip; hauek dira ehundaka nerabe eta helduen buruetan dabiltzan galderak. Ez erretzeko arrazoiak ikustaraztea da lehiaketa honen helburu.
Nahia, erretzen dutenei uztera animatzea eta haste ari direnei galduko dutenaz jabetu daitezeela da.
PARTE HARTZAILEAK
Tolosaldeko herritarrei zuzendutako lehiaketa da eta bertan bizi den pertsona orok bere sexua, jatorria eta arraza oztopo izan gabe parte hartu ahal izango du.
Parte-hartzaile bakoitzak nahi adina argazki aurkez ditzake, beti ere, lehiaketa-epearen barruan.
AURKEZPENA
Argazkiak 3 modutan aurkez daitezke.
1. Instagran: #zergatikezerre traolarekin.
2. Whatsappez: 667113632
3. Emailez: tolosaldea@aecc.es
Ateratako argazkiak Instagramen argitaratuko dira. Argazki guztiak  #zergatikezerre traolarekin etiketatuko dira nahi duenak ikusi eta bozkatu ahal izateko.  
Lehiaketan sartuko dira maitzaren 2tik 21era (biak barne) partekatutako argazkiak.


IRABAZLEAK ETA SARIAK
Bi irabazle egongo dira
a. Argazkirik onenaren egilea. Antolatzaileek aukeratutako epai mahai batek erabakiko du argazkirik onena zein den, besteak beste, kalitatea, sormena eta gaiarekiko lotura kontutan hartuta.
b. Argazkirik bozkatuenaren egilea. Instragram sare sozialean &ldquo;atsegin&rdquo; gehien jaso dituen argazkia izango da. Bozkatzeko epea maiatzaren 25ean amaituko da.
Irabazleek 150&euro;ko balioa duten bonoa jasoko dute Tolosako komertzioetan gastatu ahal izateko.

Maiatzaren 29an, antolatzaileak jarriko dira irabazleekin harremanetan. Sariak maiatzaren 31an, Tabakorik Gabeko Nazioarteko Egunean, antolatuko diren ekintzetan banatuko dira.

Egun horretarako irabazleekin kontaktuan jartzea lortu ezean, beste 7 egunez egingo da saiakera eta saria  jaso beharko du Asunzion klinikan, adostutako egun-orduan.

DATU PERTSONALEN BABESA
Lehiaketan parte hartzen duten guztiek onartzen dute sarean argitaratzen diren eduki eta komentario guztiak instagrameko beste erabiltzaileekin partekatzea. Bestalde, gisa honetako lehiaketa batean parte hartzeak Instagramen arauak onartzea dakar. Emandako datu pertsonalak ez dira inongo fitxategitan sartuko eta lehiaketako partehartzea kudeatzeko bakarrik erabiliko dira.
JABETZA ESKUBIDEAK
Antolatzaileek lehiaketara aurkezturiko argazkien jabetza eskubidea izango dute. Ondorioz, antolatzaileak izango dira irudien jabe eta beraiekin edozer egiteko eskumena izango dute. Modu berean irudiak manipulatzeko, eraldatzeko eta egokitzeko eskubidea izango dute.

Irabazleek erantzukizun osoa izango dute 3. pertsonen eskutik sorturiko erreklamazioen inguruan hauek plagio edo kopiak direla kontsideratuko balira.

Antolatzaileak ez dira eman daitezkeen datu galeren edota Instagramek izan ditzakeen akatsen erantzule egingo.


 OINARRIEN ONARPENA
Lehiaketa honetan parte hartzeak oinarri hauetako klausula guztien betetze eta onartzea dakar. Epai mahaiak parte hartzaile guztiei jakinaraziko die oinarri hauetan azaltzen den edozer aldatzea erabakitzen badu.
Antolatzaileek edozein parte-hartze bertan behera uzteko eskubidea izango dute lehiaketaren oinarriak betetzen ez direla uste bada.
";"https://activosdesalud.com/project/web/uploads/ac/5226.pdf";"Tabaco | Adicciones (alcohol, drogas y otras)";"Hábitos/Comportamientos saludables";"Cualquiera";"Jóvenes (12-29 años)";"maider.sierra@aecc.es";"Calle Emeterio Arrese, 2";"20400";"43.1344836";"-2.0761942999999974";"";"Calle";"Tolosa";"Gipuzkoa";"Euskadi";"España";"Maider Sierra";"maider.sierra@aecc.es";"943 45 77 22";"";"Programada";"02/05/2018 00:00:00";"08/11/2019 00:00:00";"";"";"";"";"Histórica";"EUS";"1"
5232;"TOLOSALDEA TABAKO-KERIK ETA ZIGARROKINIK GABE";"Maiatzak 31an ospatzen den tabakorik gabeko munduko eguna dela eta, osasun arloko erakunde ezberdinek ekintza ugari antolatu dituzte maiatzerako, tabakoa eta kannabiaren kontsumoa jaitsi asmoz.";"Maiatzak 31an ospatzen den tabakorik gabeko munduko eguna dela eta, osasun arloko erakunde ezberdinek ekintza ugari antolatu dituzte maiatzerako, tabakoa eta kannabiaren kontsumoa jaitsi asmoz. Minbiziaren Aurkako Gipuzkoako Elkartea, Tolosako eta Amasa- Villabonako Udalak, Tolosaldeako ESI, Asunzion Klinika eta Tolosaldea- Goierriko Osasun Saileko kideek hiru urtez dabiltza lanean. Nerabeen prebentzio mahaiak bultzatzen duen ekintza da.
Maiatzerako aurreikusitako ekintzen artean Instagram sarean antolaturiko argazki lehiaketa bat dago. Ez erretzeko arrazoiak pentsatu eta argazki batean irudikatzea da helburua. Tolosaldeako 16 urtetik gorako pertsonei zuzendurik dago eta 150 ? tako bi sari izango ditu. Lehena antolatzaileek aukeratua eta bigarrena, atsegin gehien jasotzen dituena. Parte hartu nahi duten . Parte hartu nahi dutenek hiru aukera dituzte: lehenengoa, Instagramera argazkia igo #zergatikezerre etiketarekin, bigarrena tolosaldea@aecc.es helbidera bidali eta azkena whatsapp bitartez 667113632 telefonoan. Epea, maiatzak 2tik21era izango da, biak barne eta nahi adina argazki bidali ahal izango dira.
Hilabetean zehar, Tolosaldeako bigarren mailako ikastetxe ezberdinetan ?tabakoa eta kannabisa korapiloa? izenpeturiko erakusketa eta tailerrak burutuko dira. Bertan, bi sustantzia hauen kontsumoaren inguruko hausnarketa bultzatuko da nerabeekin.
Eta azkenik, maiatzak 31ean, Tabakorik gabeko Egunean kaleko ekintza ezberdinekin emango zaio itxiera proiektuari. Triangulo plazan ikusgai izango dira Instagram lehiaketako argazkiak, ?tabakoa eta kannabisa korapikoa? erakusketa . Bertan lehiaketaren sariak ere banatuko dira.";"";"Enfermedades crónicas | Tabaco | Adicciones (alcohol, drogas y otras)";"Recursos sanitarios | Hábitos/Comportamientos saludables";"Cualquiera";"Población General";"maider.sierra@aecc.es";"Calle Emeterio Arrese, 2 # Plaza Erreboteko, 34-36";"20400 # 20150";"43.1344836 # 43.1875981";"-2.0761942999999974 # -2.05341640000006";"";"Calle # Plaza";"Tolosa # Villabona";"Gipuzkoa";"Euskadi";"España";"Maider Sierra";"maider.sierra@aecc.es";"667113632";"";"Programada";"01/05/2018 00:00:00";"31/05/2018 00:00:00";"";"";"";"";"Histórica";"EUS";"1"
5956;"Taller preparación al parto";"Haurdun daudenei eta beraien bikoteei zuzendutako taldeko osasun heziketa. Helburua amatasunaren prozesua ezagutzea eta haurdunaldia ongi kudeatzeko taknikak erakustea da.
Educación sanitaria grupal para embarazadas y sus parejas dirigida a comprender el proceso de la maternidad y su afrontamiento.";"Azpeitiako anbulategian egiten den taldeko tailerra da, ordu eta erdiko iraupena duena, astero, astearte eta ostegunetan. Tailerra Urrestilla eta Errezilgo herritarrei ere zuzendua dago.
Taller grupal de hora y media de duración realizado todos los martes y jueves en el centro de salud de Azpeitia.  El taller se dirige también a la población de Errezil y Urrestilla.";"";"Mujeres | Salud sexual y reproductiva | Hombres";"Recursos sanitarios | Hábitos/Comportamientos saludables";"Cualquiera";"Población Adulta (Mayores de 15 años)";"xabier.mugicapena@osakidetza.eus";"Calle jose artetxe, 7";"20740";"43.1814589";"-2.2679478999999674";"";"Calle";"Azpeitia";"Gipuzkoa";"Euskadi";"España";"Amaia Otxoa Zabala";"azpeitia@osakidetza.eus";"943025400";"";"A demanda";"20/01/2020 23:45:04";"20/02/2021 23:45:04";"";"";"";"";"Histórica";"EUS";"1"
6121;"Deshabituación Tabaco";"Grupos de ayuda para dejar de fumar";"
Sesiones semanales de 2h de duraci&oacute;n cada una, durante 4 semanas consecutivas y una sesi&oacute;n m&aacute;s al mes. Grupos reducidos sin l&iacute;mite de edad. En el Centro de Salud de Zumarraga. M&aacute;s informaci&oacute;n: en el &Aacute;rea de Atenci&oacute;n al Cliente del Centro de Salud
";"";"Tabaco";"Hábitos/Comportamientos saludables";"Cualquiera";"Población Adulta (Mayores de 15 años)";"idoia.larranagakortabarria@osakidetza.eus";"Plaza de las Estaciones, s/n";"20700";"43.0875956";"-2.319774300000063";"";"Plaza";"Zumarraga";"Gipuzkoa";"Euskadi";"España";"Idoia Larrañaga";"zumarraga@osakidetza.eus";"943035220";"Osakidetza";"A demanda";"17/10/2019 13:43:26";"17/11/2020 13:43:26";"";"";"";"";"Activa";"EUS";"1"
6290;"GRUPO EPOC Y EJERCICIO";"En 6 sesiones semanales se le enseña la importancia de la actividad física y el ejercicio en personas con EPOC.";"
Se realizan sesiones de 2 horas 1 d&iacute;a a la semana , durante 6 semanas. En ella intervienen 2 profesionales de enfermer&iacute;a. En el grupo han participado 9 pacientes.
";"";"Enfermedades crónicas";"Hábitos/Comportamientos saludables";"Cualquiera";"Población Adulta (Mayores de 15 años)";"mirenidoia.garmendiabalerdi@osakidetza.eus";"Calle latxartegi, zenbaki gabe";"20230";"43.0520805";"-2.33387689999995";"Legazpi";"Calle";"Legazpi";"Gipuzkoa";"Euskadi";"España";"PATRICIA GONZALEZ SEGURA";"legazpi.osigoierrialtourolaosakidetza@osakidetza.eus";"943035210";"";"A demanda";"06/11/2019 13:41:58";"06/12/2020 13:41:58";"PACIENTES DIAGNOSTICADOS DE EPOC";"";"";"";"Activa";"EUS";"1"
6291;"DESHABITUACION TABAQUICA GRUPAL";"Se realizan talleres de deshabituación tabáquica grupal, para promover la deshabituación.";"
Se realizan talleres para promover la deshabituaci&oacute;n tab&aacute;quica, en sesiones semanales de 2h de duraci&oacute;n cada una , 4 semanas consecutivas y otra sesi&oacute;n mas al mes. Los grupos son de 10 personas aproximadamente .Se imparte en el centro de salud de Legazpi.
";"";"Tabaco";"Hábitos/Comportamientos saludables";"Cualquiera";"Población Adulta (Mayores de 15 años)";"mirenidoia.garmendiabalerdi@osakidetza.eus";"Calle LATXARTEGI, ZENBAKI GABE";"20230";"43.0527994";"-2.3338456999999835";"LEGAZPI";"Calle";"Legazpi";"Gipuzkoa";"Euskadi";"España";"OLATZ LAXALT
MºJOSE LOPETEGUI";"legazpi.osigoierrialtourolaosakidetza@osakidetza.eus";"943035210";"";"A demanda";"06/11/2019 13:42:55";"06/12/2020 13:42:55";"";"";"";"";"Activa";"EUS";"1"
6295;"LEHEN SOROSPENAK -RCP";"Sesion de RCP en los colegios";"
Se realiza una sesi&oacute;n anual de 2h en los centros escolares, dirigido a adolescentes de 1&ordm; de Bachiller, 15-16 a&ntilde;os, para aportar conocimientos b&aacute;sicos sobre situaciones de emergencia.Primero se imparte una parte te&oacute;rica y seguidamente se realiza una formaci&oacute;n pr&aacute;ctica.
";"";"Infancia | Juventud";"Hábitos/Comportamientos saludables";"Cualquiera";"Jóvenes (12-29 años)";"mirenidoia.garmendiabalerdi@osakidetza.eus";"Calle LATXARTEGI, ZENBAKI GABE";"200230";"43.0522146";"-2.3340301000000636";"LEGAZPI";"Calle";"Legazpi";"Gipuzkoa";"Euskadi";"España";"IDOIA GARMENDIA";"legazpi.osigoierrialtourolaosakidetza@osakidetza.eus";"943035210";"";"A demanda";"06/11/2019 13:43:54";"06/12/2020 13:43:54";"";"";"";"";"Activa";"EUS";"1"
6392;"EPOC Y CALIDAD DE VIDA";"Talleres para mejorar la calidad de vida de las personas con EPOC";"Talleres semanales de 2h de duración cada uno, en los que durante 6 semanas las personas con Enfermedad Pulmonar Obstructiva Crónica (EPOC) aprenden a realizar ejercicios específicos además de adquirir conocimientos sobre la enfermedad, el uso de los Inhaladores, la evitación de reagudizaciones, la nutrición y otros consejos generales (sueño, sexualidad, etc.). Estos talleres se realizan los viernes de 10:00-12:00h en el Centro de Salud de Zumarraga. Más información: en el Área de Atención al Cliente del Centro de Salud.";"";"Escuela de salud | Enfermedades crónicas";"Recursos sanitarios | Hábitos/Comportamientos saludables";"Cualquiera";"Población General";"resurreccion.perezdearenaza@osakidetza.eus";"Plaza Estaciones, s/n";"20700";"43.0869864";"-2.3209682000000385";"";"Plaza";"Zumarraga";"Gipuzkoa";"Euskadi";"España";"Elena Calvillo";"zumarraga@osakidetza.eus";"943035220";"Osakidetza";"A demanda";"12/02/2020 23:45:04";"12/03/2021 23:45:04";"";"";"";"";"Histórica";"EUS";"1"
6394;"Taller sobre Diabetes";"Formación en grupo para profundizar en el conocimiento de la diabetes.";"Sesiones semanales de 2h de duración cada una, durante 3 semanas consecutivas, los martes de 10:00-12:00h en el Centro de Salud de Zumarraga. Son grupos reducidos de personas con diabetes, sin límite de edad. Más información: en el Área de Atención al Cliente del Centro de Salud.";"";"Enfermedades crónicas";"Recursos sanitarios";"Cualquiera";"Población General";"resurreccion.perezdearenaza@osakidetza.eus";"Plaza Estaciones, s/n";"20700";"43.0869864";"-2.3209682000000385";"";"Plaza";"Zumarraga";"Gipuzkoa";"Euskadi";"España";"Marisol Pascual e Inés Ruiz";"zumarraga@osakidetza.eus";"943035220";"Osakidetza";"A demanda";"12/02/2020 23:45:04";"12/03/2021 23:45:04";"";"";"";"";"Histórica";"EUS";"1"
